Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-29 13:07:50,2018-10-29 13:08:05,15.222s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-29 13:07:50,2018-10-29 13:07:55,4.615s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:50,2018-10-29 13:07:53,2.887s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 13:07:53,2018-10-29 13:07:54,0.238s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:54,0.130s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:54,0.127s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:54,0.080s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:54,0.098s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:54,0.039s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:54,0.021s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:54,0.049s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:54,0.034s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:54,2018-10-29 13:07:55,0.597s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-29 13:07:55,2018-10-29 13:07:58,3.385s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:55,2018-10-29 13:07:57,1.898s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.073s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.116s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.102s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.050s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.080s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.076s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.053s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.061s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.069s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.052s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.013s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.012s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:57,0.029s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:07:57,2018-10-29 13:07:58,0.032s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:58,2018-10-29 13:07:58,0.585s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-29 13:07:58,2018-10-29 13:08:02,3.455s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:58,2018-10-29 13:08:00,1.901s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 13:08:00,2018-10-29 13:08:00,0.077s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:00,2018-10-29 13:08:00,0.120s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:08:00,2018-10-29 13:08:00,0.117s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:00,2018-10-29 13:08:00,0.075s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:08:00,2018-10-29 13:08:01,0.084s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.093s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.054s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.061s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.067s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.067s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.011s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.028s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:01,0.027s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 13:08:01,2018-10-29 13:08:02,0.583s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 4,Chrome 70.0.3538.77,http://192.168.56.102:8080/spring-mvc-forms,2018-10-29 13:08:02,2018-10-29 13:08:05,3.461s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 13:08:02,2018-10-29 13:08:04,1.911s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.070s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.117s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.094s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.053s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.068s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.088s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.086s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.055s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.053s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.056s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.010s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.028s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:04,0.029s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 13:08:04,2018-10-29 13:08:05,0.586s,PASSED
