Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-27 15:04:18,2018-10-27 15:04:33,15.208s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-27 15:04:18,2018-10-27 15:04:23,4.321s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:04:19,2018-10-27 15:04:21,2.771s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:04:21,2018-10-27 15:04:21,0.119s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:21,2018-10-27 15:04:22,0.147s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:04:22,2018-10-27 15:04:22,0.123s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:04:22,2018-10-27 15:04:22,0.091s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:22,2018-10-27 15:04:22,0.103s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:04:22,2018-10-27 15:04:22,0.032s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:04:22,2018-10-27 15:04:22,0.024s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:04:22,2018-10-27 15:04:22,0.051s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:04:22,2018-10-27 15:04:22,0.042s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:04:22,2018-10-27 15:04:23,0.610s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-27 15:04:23,2018-10-27 15:04:26,3.552s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:04:23,2018-10-27 15:04:25,1.916s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.089s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.117s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.120s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.068s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.102s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.096s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.058s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.064s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:25,0.063s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:25,2018-10-27 15:04:26,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:04:26,2018-10-27 15:04:26,0.014s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:04:26,2018-10-27 15:04:26,0.014s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:04:26,2018-10-27 15:04:26,0.035s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:04:26,2018-10-27 15:04:26,0.028s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:04:26,2018-10-27 15:04:26,0.600s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-27 15:04:26,2018-10-27 15:04:30,3.486s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:04:26,2018-10-27 15:04:28,1.951s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:04:28,2018-10-27 15:04:28,0.072s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:28,2018-10-27 15:04:28,0.105s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:04:28,2018-10-27 15:04:29,0.097s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.057s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.090s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.053s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.057s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.067s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.014s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:04:29,2018-10-27 15:04:29,0.012s,PASSED
