Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-29 09:38:12,2018-10-29 09:38:27,15.252s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-29 09:38:12,2018-10-29 09:38:17,4.577s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 09:38:12,2018-10-29 09:38:15,2.793s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 09:38:15,2018-10-29 09:38:15,0.097s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:15,2018-10-29 09:38:16,0.228s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:38:16,2018-10-29 09:38:16,0.108s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:38:16,2018-10-29 09:38:16,0.080s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:16,2018-10-29 09:38:16,0.270s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:38:16,2018-10-29 09:38:16,0.039s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:38:16,2018-10-29 09:38:16,0.022s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:38:16,2018-10-29 09:38:16,0.067s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:38:16,2018-10-29 09:38:16,0.038s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 09:38:16,2018-10-29 09:38:17,0.604s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-29 09:38:17,2018-10-29 09:38:20,3.539s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 09:38:17,2018-10-29 09:38:19,1.947s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 09:38:19,2018-10-29 09:38:19,0.073s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:19,2018-10-29 09:38:19,0.110s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:38:19,2018-10-29 09:38:19,0.111s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:19,2018-10-29 09:38:19,0.061s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:38:19,2018-10-29 09:38:19,0.091s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:19,2018-10-29 09:38:19,0.088s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:19,2018-10-29 09:38:19,0.076s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:19,2018-10-29 09:38:20,0.067s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:20,2018-10-29 09:38:20,0.078s,PASSED
