Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-27 15:28:43,2018-10-27 15:28:58,15.095s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-27 15:28:44,2018-10-27 15:28:48,4.290s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:28:44,2018-10-27 15:28:47,2.832s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.097s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.124s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.101s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.081s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.083s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.032s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.021s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.049s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:47,0.037s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:28:47,2018-10-27 15:28:48,0.602s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-27 15:28:48,2018-10-27 15:28:52,3.661s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:28:48,2018-10-27 15:28:50,1.938s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:28:50,2018-10-27 15:28:50,0.079s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:50,2018-10-27 15:28:50,0.230s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:28:50,2018-10-27 15:28:50,0.106s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:50,2018-10-27 15:28:50,0.061s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:28:50,2018-10-27 15:28:51,0.087s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.086s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.076s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.065s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.069s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.065s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.015s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.015s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.032s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:51,0.030s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:28:51,2018-10-27 15:28:52,0.601s,PASSED
,,,,,,
