Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-29 13:07:07,2018-10-29 13:07:23,15.413s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-29 13:07:08,2018-10-29 13:07:12,4.473s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:08,2018-10-29 13:07:11,2.844s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.117s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.169s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.112s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.081s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.098s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.033s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.023s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.056s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:11,0.040s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:11,2018-10-29 13:07:12,0.638s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-29 13:07:12,2018-10-29 13:07:16,3.513s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:12,2018-10-29 13:07:14,1.932s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 13:07:14,2018-10-29 13:07:14,0.072s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:14,2018-10-29 13:07:14,0.120s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:14,2018-10-29 13:07:14,0.094s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:14,2018-10-29 13:07:14,0.064s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:14,2018-10-29 13:07:15,0.092s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.094s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.064s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.064s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.017s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.031s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:15,0.027s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:15,2018-10-29 13:07:16,0.602s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-29 13:07:16,2018-10-29 13:07:19,3.431s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 13:07:16,2018-10-29 13:07:18,1.958s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 13:07:18,2018-10-29 13:07:18,0.081s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:18,2018-10-29 13:07:18,0.118s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:18,2018-10-29 13:07:18,0.087s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:18,2018-10-29 13:07:18,0.050s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 13:07:18,2018-10-29 13:07:18,0.075s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:18,2018-10-29 13:07:18,0.073s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 13:07:18,2018-10-29 13:07:18,0.054s,PASSED
