Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-29 09:38:52,2018-10-29 09:39:07,14.727s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-29 09:38:52,2018-10-29 09:38:56,4.178s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 09:38:52,2018-10-29 09:38:55,2.656s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 09:38:55,2018-10-29 09:38:55,0.096s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:55,2018-10-29 09:38:55,0.144s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:38:55,2018-10-29 09:38:56,0.156s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:38:56,2018-10-29 09:38:56,0.093s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:56,2018-10-29 09:38:56,0.103s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:38:56,2018-10-29 09:38:56,0.037s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:38:56,2018-10-29 09:38:56,0.023s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:38:56,2018-10-29 09:38:56,0.050s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:38:56,2018-10-29 09:38:56,0.034s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 09:38:56,2018-10-29 09:38:56,0.593s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-29 09:38:56,2018-10-29 09:39:00,3.381s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 09:38:57,2018-10-29 09:38:58,1.928s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 09:38:58,2018-10-29 09:38:59,0.069s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.094s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.089s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.065s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.075s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.077s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.052s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.051s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.062s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.065s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.012s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:38:59,2018-10-29 09:38:59,0.027s,PASSED
