Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-28 16:58:24,2018-10-28 16:58:39,14.918s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-28 16:58:24,2018-10-28 16:58:28,4.227s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 16:58:24,2018-10-28 16:58:27,2.736s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 16:58:27,2018-10-28 16:58:27,0.094s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:27,2018-10-28 16:58:27,0.160s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 16:58:27,2018-10-28 16:58:27,0.114s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 16:58:27,2018-10-28 16:58:28,0.091s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:28,2018-10-28 16:58:28,0.098s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 16:58:28,2018-10-28 16:58:28,0.028s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 16:58:28,2018-10-28 16:58:28,0.019s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 16:58:28,2018-10-28 16:58:28,0.045s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 16:58:28,2018-10-28 16:58:28,0.032s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 16:58:28,2018-10-28 16:58:28,0.597s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-28 16:58:28,2018-10-28 16:58:32,3.490s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 16:58:29,2018-10-28 16:58:30,1.906s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 16:58:30,2018-10-28 16:58:30,0.072s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:30,2018-10-28 16:58:31,0.102s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.097s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.053s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.077s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.169s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.054s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.051s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.060s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.013s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.028s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:31,0.028s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 16:58:31,2018-10-28 16:58:32,0.587s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-28 16:58:32,2018-10-28 16:58:35,3.534s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 16:58:32,2018-10-28 16:58:34,1.929s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 16:58:34,2018-10-28 16:58:34,0.132s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:34,2018-10-28 16:58:34,0.130s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 16:58:34,2018-10-28 16:58:34,0.109s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:34,2018-10-28 16:58:34,0.055s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 16:58:34,2018-10-28 16:58:34,0.085s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:34,2018-10-28 16:58:35,0.093s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.051s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.061s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.067s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.011s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.029s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.030s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 16:58:35,2018-10-28 16:58:35,0.585s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 4,Chrome 70.0.3538.77,http://192.168.56.102:8080/spring-mvc-forms,2018-10-28 16:58:35,2018-10-28 16:58:39,3.454s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 16:58:36,2018-10-28 16:58:37,1.936s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 16:58:37,2018-10-28 16:58:38,0.073s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.112s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.103s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.049s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.063s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.072s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.077s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.057s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.049s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.047s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.062s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.011s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.012s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.029s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:38,0.028s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 16:58:38,2018-10-28 16:58:39,0.589s,PASSED
