Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-29 09:54:52,2018-10-29 09:55:07,14.872s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-29 09:54:52,2018-10-29 09:54:56,4.222s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 09:54:52,2018-10-29 09:54:55,2.756s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 09:54:55,2018-10-29 09:54:55,0.093s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:55,2018-10-29 09:54:55,0.144s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:54:55,2018-10-29 09:54:56,0.125s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:54:56,2018-10-29 09:54:56,0.088s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:56,2018-10-29 09:54:56,0.084s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:54:56,2018-10-29 09:54:56,0.030s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:54:56,2018-10-29 09:54:56,0.020s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:54:56,2018-10-29 09:54:56,0.040s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:54:56,2018-10-29 09:54:56,0.035s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 09:54:56,2018-10-29 09:54:56,0.599s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-29 09:54:56,2018-10-29 09:55:00,3.493s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 09:54:57,2018-10-29 09:54:58,1.919s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 09:54:58,2018-10-29 09:54:59,0.078s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.130s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.110s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.054s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.076s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.086s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.073s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.068s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.015s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.015s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.031s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:54:59,0.028s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 09:54:59,2018-10-29 09:55:00,0.595s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-29 09:55:00,2018-10-29 09:55:04,3.535s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 09:55:00,2018-10-29 09:55:02,1.951s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 09:55:02,2018-10-29 09:55:02,0.076s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:02,2018-10-29 09:55:02,0.106s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:55:02,2018-10-29 09:55:02,0.088s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:02,2018-10-29 09:55:02,0.063s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:55:02,2018-10-29 09:55:02,0.080s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:02,2018-10-29 09:55:03,0.187s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:03,0.051s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:03,0.065s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:03,0.067s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:03,0.052s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:03,0.012s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:03,0.012s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:03,0.029s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:03,0.025s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 09:55:03,2018-10-29 09:55:04,0.587s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 4,Chrome 70.0.3538.77,http://192.168.56.102:8080/spring-mvc-forms,2018-10-29 09:55:04,2018-10-29 09:55:07,3.395s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 09:55:04,2018-10-29 09:55:05,1.916s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-29 09:55:05,2018-10-29 09:55:06,0.077s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.104s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.048s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.050s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.070s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.085s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.055s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.048s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.052s,PASSED
click,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.009s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.012s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.026s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:06,0.029s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 09:55:06,2018-10-29 09:55:07,0.584s,PASSED
