Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-27 14:56:49,2018-10-27 14:57:04,15.293s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-27 14:56:49,2018-10-27 14:56:54,4.308s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 14:56:49,2018-10-27 14:56:52,2.784s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 14:56:52,2018-10-27 14:56:52,0.152s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:52,2018-10-27 14:56:53,0.136s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 14:56:53,2018-10-27 14:56:53,0.117s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 14:56:53,2018-10-27 14:56:53,0.076s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:53,2018-10-27 14:56:53,0.087s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 14:56:53,2018-10-27 14:56:53,0.029s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 14:56:53,2018-10-27 14:56:53,0.022s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 14:56:53,2018-10-27 14:56:53,0.046s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 14:56:53,2018-10-27 14:56:53,0.036s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 14:56:53,2018-10-27 14:56:54,0.600s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-27 14:56:54,2018-10-27 14:56:57,3.467s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 14:56:54,2018-10-27 14:56:56,1.915s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.082s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.114s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.095s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.058s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.086s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.054s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.059s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.067s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.015s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.014s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.032s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:56,0.031s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 14:56:56,2018-10-27 14:56:57,0.589s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-27 14:56:57,2018-10-27 14:57:01,3.478s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 14:56:57,2018-10-27 14:56:59,1.928s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 14:56:59,2018-10-27 14:56:59,0.081s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:59,2018-10-27 14:56:59,0.111s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 14:56:59,2018-10-27 14:56:59,0.099s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:56:59,2018-10-27 14:56:59,0.064s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 14:56:59,2018-10-27 14:57:00,0.081s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.080s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.072s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.069s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.064s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.056s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.012s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.012s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.025s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:00,0.029s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 14:57:00,2018-10-27 14:57:01,0.592s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 4,Chrome 70.0.3538.77,http://192.168.56.102:8080/spring-mvc-forms,2018-10-27 14:57:01,2018-10-27 14:57:04,3.756s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 14:57:01,2018-10-27 14:57:03,1.913s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.080s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.263s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.118s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.061s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.066s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.085s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.168s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.056s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:03,0.057s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:03,2018-10-27 14:57:04,0.062s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 14:57:04,2018-10-27 14:57:04,0.067s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 14:57:04,2018-10-27 14:57:04,0.012s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 14:57:04,2018-10-27 14:57:04,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 14:57:04,2018-10-27 14:57:04,0.029s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 14:57:04,2018-10-27 14:57:04,0.030s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 14:57:04,2018-10-27 14:57:04,0.594s,PASSED
