Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-28 10:29:51,2018-10-28 10:30:06,15.050s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-28 10:29:51,2018-10-28 10:29:56,4.365s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 10:29:51,2018-10-28 10:29:54,2.797s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 10:29:54,2018-10-28 10:29:54,0.222s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:54,2018-10-28 10:29:55,0.147s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 10:29:55,2018-10-28 10:29:55,0.111s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 10:29:55,2018-10-28 10:29:55,0.086s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:55,2018-10-28 10:29:55,0.100s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 10:29:55,2018-10-28 10:29:55,0.026s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 10:29:55,2018-10-28 10:29:55,0.018s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 10:29:55,2018-10-28 10:29:55,0.046s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 10:29:55,2018-10-28 10:29:55,0.040s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 10:29:55,2018-10-28 10:29:56,0.601s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-28 10:29:56,2018-10-28 10:29:59,3.447s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 10:29:56,2018-10-28 10:29:58,1.908s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.082s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.110s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.094s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.063s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.079s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.081s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.074s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.051s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.014s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.012s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.031s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:58,0.029s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 10:29:58,2018-10-28 10:29:59,0.591s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-28 10:29:59,2018-10-28 10:30:03,3.507s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 10:29:59,2018-10-28 10:30:01,1.924s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 10:30:01,2018-10-28 10:30:01,0.075s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:30:01,2018-10-28 10:30:01,0.124s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 10:30:01,2018-10-28 10:30:01,0.102s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:30:01,2018-10-28 10:30:01,0.066s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 10:30:01,2018-10-28 10:30:02,0.088s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.087s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.059s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.064s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.066s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.011s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.012s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.038s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:02,0.030s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 10:30:02,2018-10-28 10:30:03,0.594s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 4,Chrome 70.0.3538.77,http://192.168.56.102:8080/spring-mvc-forms,2018-10-28 10:30:03,2018-10-28 10:30:06,3.458s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 10:30:03,2018-10-28 10:30:05,1.945s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 10:30:05,2018-10-28 10:30:05,0.077s,PASSED
