Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-27 15:19:14,2018-10-27 15:19:29,15.548s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-27 15:19:14,2018-10-27 15:19:19,4.676s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:19:14,2018-10-27 15:19:17,2.970s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:19:17,2018-10-27 15:19:17,0.114s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:17,2018-10-27 15:19:18,0.168s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:19:18,2018-10-27 15:19:18,0.150s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:19:18,2018-10-27 15:19:18,0.104s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:18,2018-10-27 15:19:18,0.110s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:19:18,2018-10-27 15:19:18,0.043s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:19:18,2018-10-27 15:19:18,0.024s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:19:18,2018-10-27 15:19:18,0.049s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:19:18,2018-10-27 15:19:18,0.039s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:19:18,2018-10-27 15:19:19,0.630s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-27 15:19:19,2018-10-27 15:19:22,3.576s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:19:19,2018-10-27 15:19:21,1.919s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:21,0.096s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:21,0.124s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:21,0.130s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:21,0.071s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:21,0.093s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:21,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:21,0.062s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:21,0.062s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:21,2018-10-27 15:19:22,0.069s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:22,2018-10-27 15:19:22,0.059s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:19:22,2018-10-27 15:19:22,0.018s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:19:22,2018-10-27 15:19:22,0.015s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:19:22,2018-10-27 15:19:22,0.034s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:19:22,2018-10-27 15:19:22,0.030s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:19:22,2018-10-27 15:19:22,0.614s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-27 15:19:22,2018-10-27 15:19:26,3.415s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:19:22,2018-10-27 15:19:24,1.911s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:19:24,2018-10-27 15:19:24,0.075s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:24,2018-10-27 15:19:24,0.119s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:19:24,2018-10-27 15:19:25,0.096s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.051s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.078s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.070s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.055s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.056s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.069s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.058s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.013s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.027s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:25,0.029s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:19:25,2018-10-27 15:19:26,0.610s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 4,Chrome 70.0.3538.77,http://192.168.56.102:8080/spring-mvc-forms,2018-10-27 15:19:26,2018-10-27 15:19:29,3.613s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:19:26,2018-10-27 15:19:28,1.920s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:19:28,2018-10-27 15:19:28,0.110s,PASSED
