Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-28 17:20:52,2018-10-28 17:21:07,15.517s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-28 17:20:52,2018-10-28 17:20:57,4.605s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 17:20:52,2018-10-28 17:20:55,2.828s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 17:20:55,2018-10-28 17:20:56,0.286s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:56,0.151s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:56,0.129s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:56,0.101s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:56,0.108s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:56,0.036s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:56,0.027s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:56,0.053s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:56,0.041s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 17:20:56,2018-10-28 17:20:57,0.602s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-28 17:20:57,2018-10-28 17:21:00,3.475s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 17:20:57,2018-10-28 17:20:59,1.902s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:20:59,0.081s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:20:59,0.120s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:20:59,0.109s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:20:59,0.059s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:20:59,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:20:59,0.089s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:20:59,0.074s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:20:59,0.068s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:20:59,2018-10-28 17:21:00,0.052s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:00,2018-10-28 17:21:00,0.064s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 17:21:00,2018-10-28 17:21:00,0.015s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 17:21:00,2018-10-28 17:21:00,0.014s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 17:21:00,2018-10-28 17:21:00,0.031s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 17:21:00,2018-10-28 17:21:00,0.032s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 17:21:00,2018-10-28 17:21:00,0.590s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-28 17:21:00,2018-10-28 17:21:04,3.464s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 17:21:00,2018-10-28 17:21:02,1.915s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 17:21:02,2018-10-28 17:21:02,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:02,2018-10-28 17:21:02,0.124s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 17:21:02,2018-10-28 17:21:03,0.093s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.052s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.078s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.103s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.057s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.055s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.081s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.067s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.011s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.015s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.029s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:03,0.028s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-28 17:21:03,2018-10-28 17:21:04,0.581s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 4,Chrome 70.0.3538.77,http://192.168.56.102:8080/spring-mvc-forms,2018-10-28 17:21:04,2018-10-28 17:21:07,3.733s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-28 17:21:04,2018-10-28 17:21:06,1.956s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-28 17:21:06,2018-10-28 17:21:06,0.077s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:06,2018-10-28 17:21:06,0.143s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 17:21:06,2018-10-28 17:21:06,0.123s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:06,2018-10-28 17:21:06,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-28 17:21:06,2018-10-28 17:21:06,0.066s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-28 17:21:06,2018-10-28 17:21:06,0.076s,PASSED
