Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-27 15:37:27,2018-10-27 15:37:42,15.010s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-27 15:37:27,2018-10-27 15:37:31,4.385s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:37:27,2018-10-27 15:37:30,2.800s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:30,0.101s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:30,0.210s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:30,0.145s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:30,0.094s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:30,0.087s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:30,0.032s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:30,0.021s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:30,0.044s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:37:30,2018-10-27 15:37:31,0.037s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:37:31,2018-10-27 15:37:31,0.602s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-27 15:37:31,2018-10-27 15:37:35,3.432s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:37:31,2018-10-27 15:37:33,1.915s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:37:33,2018-10-27 15:37:33,0.071s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:33,2018-10-27 15:37:33,0.104s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:37:33,2018-10-27 15:37:33,0.101s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:33,2018-10-27 15:37:33,0.056s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:37:33,2018-10-27 15:37:34,0.082s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.072s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.059s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.068s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.052s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.014s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.015s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.027s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:34,0.029s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:37:34,2018-10-27 15:37:35,0.613s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 3,Chrome 70.0.3538.77,,2018-10-27 15:37:35,2018-10-27 15:37:38,3.420s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:37:35,2018-10-27 15:37:37,1.906s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.075s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.107s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.097s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.057s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.077s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.112s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.052s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.055s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.067s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.050s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.013s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.014s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.029s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:37,0.029s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:37:37,2018-10-27 15:37:38,0.602s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 4,Chrome 70.0.3538.77,http://192.168.56.102:8080/spring-mvc-forms,2018-10-27 15:37:38,2018-10-27 15:37:42,3.509s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:37:38,2018-10-27 15:37:40,1.924s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:37:40,2018-10-27 15:37:40,0.071s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:40,2018-10-27 15:37:40,0.107s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:37:40,2018-10-27 15:37:40,0.092s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:40,2018-10-27 15:37:40,0.064s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:40,2018-10-27 15:37:40,0.068s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:37:40,2018-10-27 15:37:40,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:40,2018-10-27 15:37:41,0.076s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:41,0.057s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:41,0.066s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:41,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:41,0.054s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:41,0.013s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:41,0.013s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:41,0.030s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:41,0.028s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:37:41,2018-10-27 15:37:42,0.606s,PASSED
